director_name,num_critic_for_reviews,gross,genres,actor_1_name,movie_title,num_voted_users,num_user_for_reviews,language,budget,title_year,imdb_score,movie_facebook_likes
Andrés Couturier,3,25517500,Animation|Family,Sariann Monaco,Top Cat Begins ,230,1,Spanish,8000000.0,2015,4.4,138
Ron Howard,205,170708996,Biography|Drama,Adam Goldberg,A Beautiful Mind ,610568,1171,English,58000000.0,2001,8.2,29000
Roger Allers,186,422783777,Adventure|Animation|Drama|Family|Musical,Matthew Broderick,The Lion King ,644348,656,English,45000000.0,1994,8.5,17000
Renny Harlin,167,41814863,Horror|Mystery|Thriller,James D'Arcy,Exorcist: The Beginning ,28635,308,English,50000000.0,2004,5.1,893
unknown,12,25517500,Drama|Fantasy|Horror|Thriller,Harold Perrineau,Constantine             ,36919,94,English,20000000.0,2009,7.5,10000
Thor Freudenthal,107,73023275,Comedy|Family,Don Cheadle,Hotel for Dogs ,16271,57,English,35000000.0,2009,5.4,1000
unknown,12,25517500,Crime|Drama|Mystery,Adam Arkin,Life             ,29450,67,English,20000000.0,2009,8.3,0
F. Gary Gray,161,55808744,Comedy|Crime|Music,Dwayne Johnson,Be Cool ,59435,323,English,53000000.0,2005,5.7,0
Jerry Zucker,53,37600435,Action|Adventure|Romance|Thriller,Julia Ormond,First Knight ,55350,180,English,55000000.0,1995,5.9,0
Florent-Emilio Siri,152,34636443,Action|Crime|Drama|Mystery|Thriller,Jimmy Bennett,Hostage ,93790,288,English,52000000.0,2005,6.6,0
David Pastor,130,90820,Drama|Horror|Sci-Fi|Thriller,Christopher Meloni,Carriers ,35510,119,English,20000000.0,2009,6.0,0
John Moore,114,21009180,Action|Adventure|Drama|Thriller,Dennis Quaid,Flight of the Phoenix ,45815,222,English,45000000.0,2004,6.1,1000
Jean-Jacques Annaud,88,18947630,Adventure|Drama|Family,David Gant,Two Brothers ,11798,124,English,59660000.0,2004,7.1,2000
unknown,39,25517500,Adventure|Drama|Fantasy|Mystery|Thriller,Nicole Beharie,Sleepy Hollow             ,49049,110,English,20000000.0,2009,7.5,14000
Jonathan Frakes,160,70117571,Action|Adventure|Sci-Fi|Thriller,LeVar Burton,Star Trek: Insurrection ,56741,515,English,58000000.0,1998,6.4,1000
Gary McKendry,189,25093607,Action|Crime|Thriller,Jason Statham,Killer Elite ,105556,157,English,35000000.0,2011,6.5,17000
Mikael Håfström,286,25121291,Action|Crime|Mystery|Sci-Fi|Thriller,Sylvester Stallone,Escape Plan ,177653,279,English,50000000.0,2013,6.7,34000
Bobby Farrelly,237,45045037,Comedy|Romance,Jenna Fischer,Hall Pass ,103230,143,English,36000000.0,2011,5.9,10000
Craig Gillespie,178,27550735,Action|Drama|History|Thriller,Michael Raymond-James,The Finest Hours ,27481,113,English,20000000.0,2016,6.8,12000
Jay Roach,190,72980108,Comedy,Steve Carell,Dinner for Schmucks ,80338,264,English,20000000.0,2010,5.9,0
unknown,4,25517500,Comedy,Hector Elizondo,Last Man Standing             ,15114,87,English,20000000.0,2009,7.4,0
Doug Lefler,90,5932060,Action|Adventure|Fantasy|War,Colin Firth,The Last Legion ,29285,174,English,35000000.0,2007,5.4,0
Chris Wedge,193,176387405,Adventure|Animation|Comedy|Family,Goran Visnjic,Ice Age ,328159,467,English,59000000.0,2002,7.6,3000
John Woo,72,70450000,Action|Crime|Thriller,Delroy Lindo,Broken Arrow ,77390,189,English,50000000.0,1996,6.0,0
Glenn Ficarra,279,53846915,Comedy|Crime|Drama|Romance,Will Smith,Focus ,149337,221,English,50100000.0,2015,6.6,23000
John Milius,97,25517500,Action|Drama|War,Lea Thompson,Red Dawn ,41776,383,English,16900000.0,1984,6.4,0
Paul W.S. Anderson,230,36064910,Action|Sci-Fi|Thriller,Jason Statham,Death Race ,166610,211,English,45000000.0,2008,6.4,0
unknown,14,25517500,Crime|Drama|Mystery,Jason Flemyng,The Missing             ,8739,28,English,20000000.0,2009,8.1,0
Roman Polanski,127,1987287,Crime|Drama,Ian McNeice,Oliver Twist ,25474,138,English,50000000.0,2005,6.9,0
Rob Bowman,196,24407944,Action|Crime|Fantasy|Thriller,Jennifer Garner,Elektra ,71202,380,English,43000000.0,2005,4.8,0
Baltasar Kormákur,361,43247140,Adventure|Biography|Drama|History|Sport|Thriller,Michael Kelly,Everest ,134625,265,English,55000000.0,2015,7.1,40000
Tom Tykwer,226,2208939,Crime|Drama|Fantasy,Michael Smiley,Perfume: The Story of a Murderer ,190490,482,English,50000000.0,2006,7.5,26000
Demian Lichtenstein,113,15738632,Action|Comedy|Crime|Thriller,Jon Lovitz,3000 Miles to Graceland ,38076,399,English,42000000.0,2001,5.9,0
Quentin Tarantino,596,54116191,Crime|Drama|Mystery|Thriller|Western,Craig Stark,The Hateful Eight ,272839,1018,English,44000000.0,2015,7.9,114000
Walt Becker,177,168213584,Action|Adventure|Comedy,Jill Hennessy,Wild Hogs ,99989,255,English,20000000.0,2007,5.9,0
Martin Campbell,137,106635996,Action|Adventure|Thriller,Izabella Scorupco,GoldenEye ,199025,416,English,58000000.0,1995,7.2,0
Robert Schwentke,315,90356857,Action|Comedy|Crime|Thriller,Bruce Willis,RED ,238916,328,English,58000000.0,2010,7.1,32000
Oliver Stone,171,75530832,Drama|Sport,Al Pacino,Any Given Sunday ,97047,452,English,55000000.0,1999,6.8,0
Jay Russell,125,74540762,Action|Drama|Thriller,Billy Burke,Ladder 49 ,48753,323,English,55000000.0,2004,6.5,0
M. Night Shyamalan,323,64505912,Sci-Fi|Thriller,Zooey Deschanel,The Happening ,163130,1264,English,48000000.0,2008,5.0,6000
Brian Robbins,76,61112916,Comedy|Family|Fantasy,Robert Downey Jr.,The Shaggy Dog ,14888,83,English,50000000.0,2006,4.4,747
unknown,8,25517500,Comedy|Romance,Bianca Kajlich,Rules of Engagement             ,26404,41,English,20000000.0,2009,7.3,0
Griffin Dunne,92,46611204,Comedy|Drama|Fantasy|Romance,Goran Visnjic,Practical Magic ,55749,257,English,48000000.0,1998,6.1,0
John Pasquin,111,48472213,Action|Comedy|Crime,Eileen Brennan,Miss Congeniality 2: Armed and Fabulous ,51252,156,English,45000000.0,2005,5.0,621
Kevin Macdonald,252,36965395,Crime|Drama|Mystery|Thriller,Robin Wright,State of Play ,113295,235,English,20000000.0,2009,7.1,0
Robert Lorenz,239,35754555,Drama|Sport,Clint Eastwood,Trouble with the Curve ,47954,150,English,20000000.0,2012,6.8,11000
Peter Hyams,95,33927476,Horror|Mystery|Sci-Fi|Thriller,John Kapelos,The Relic ,19176,165,English,40000000.0,1997,5.7,956
Tim Hill,77,28424210,Animation|Comedy|Family|Fantasy,Bill Murray,Garfield 2 ,27517,74,English,20000000.0,2006,5.0,470
Brian De Palma,240,22518325,Crime|Drama|Mystery|Thriller,Scarlett Johansson,The Black Dahlia ,63363,644,English,50000000.0,2006,5.6,0
Walter Salles,196,25472967,Drama|Horror|Thriller,Dougray Scott,Dark Water ,44966,411,English,30000000.0,2005,5.6,0
Ron Howard,115,22362500,Comedy|Drama,Matthew McConaughey,Edtv ,35599,195,English,55000000.0,1999,6.1,641
Martin Campbell,54,4426297,Adventure|Drama|Romance|War,Angelina Jolie Pitt,Beyond Borders ,22570,156,English,35000000.0,2003,6.5,0
Tim Miller,579,363024263,Action|Adventure|Comedy|Romance|Sci-Fi,Ryan Reynolds,Deadpool ,479047,1058,English,58000000.0,2016,8.1,117000
Clint Eastwood,490,350123553,Action|Biography|Drama|History|Thriller|War,Bradley Cooper,American Sniper ,325264,916,English,58800000.0,2014,7.3,112000
Rob Letterman,218,80021740,Adventure|Comedy|Family|Fantasy|Horror,Odeya Rush,Goosebumps ,47968,154,English,58000000.0,2015,6.4,35000
unknown,20,25517500,Comedy|Family|Fantasy,Nate Richert,"Sabrina, the Teenage Witch             ",24420,94,English,3000000.0,2009,6.6,990
Mark Waters,142,48291624,Comedy|Fantasy|Romance,Jon Heder,Just Like Heaven ,82819,263,English,58000000.0,2005,6.7,0
George Clooney,186,31199215,Comedy|Drama|Romance|Sport,Robert Baker,Leatherheads ,27664,120,English,58000000.0,2008,6.0,472
Frank Coraci,53,25517500,Comedy|Western,Taylor Lautner,The Ridiculous 6 ,27019,143,English,20000000.0,2015,4.9,0
Marc Lawrence,133,29580087,Comedy|Drama|Romance,Michael Kelly,Did You Hear About the Morgans? ,29523,121,English,58000000.0,2009,4.7,0
Shawn Levy,246,44665963,Comedy,Josh Gad,The Internship ,159931,281,English,58000000.0,2013,6.3,22000
Anthony Hemingway,144,49875589,Action|Adventure|Drama|History|War,David Oyelowo,Red Tails ,28807,273,English,58000000.0,2012,5.9,0
unknown,46,25517500,Comedy|Romance,Chris Noth,Sex and the City             ,80025,238,English,20000000.0,2009,7.0,0
Taylor Hackford,117,60984028,Drama|Mystery|Thriller,Keanu Reeves,The Devil's Advocate ,259519,431,English,57000000.0,1997,7.5,11000
Rob Cohen,60,51317350,Action|Adventure|Fantasy,Dennis Quaid,DragonHeart ,78343,139,English,57000000.0,1996,6.4,0
Brett Ratner,117,28328132,Action|Comedy|Crime|Drama,Salma Hayek,After the Sunset ,38298,147,English,58000000.0,2004,6.3,782
Mark Neveldine,287,51774002,Action|Fantasy|Thriller,Nicolas Cage,Ghost Rider: Spirit of Vengeance ,87745,331,English,57000000.0,2011,4.3,18000
John Madden,96,25528495,Drama|Music|Romance|War,Christian Bale,Captain Corelli's Mandolin ,28099,220,English,57000000.0,2001,5.9,0
unknown,26,25517500,Comedy|Romance,Barry Corbin,Anger Management             ,26992,54,English,20000000.0,2009,6.7,0
Adam Shankman,125,113006880,Action|Comedy|Drama|Family|Thriller,Vin Diesel,The Pacifier ,66308,225,English,56000000.0,2005,5.5,0
Kevin Bray,117,45860039,Action|Crime,Dwayne Johnson,Walking Tall ,53118,221,English,56000000.0,2004,6.2,0
Robert Zemeckis,149,329691196,Comedy|Drama,Tom Hanks,Forrest Gump ,1251222,1398,English,55000000.0,1994,8.8,59000
Jay Roach,150,166225040,Comedy,Robert De Niro,Meet the Parents ,260442,507,English,55000000.0,2000,7.0,0
Mike Gabriel,92,141600000,Adventure|Animation|Drama|Family|History|Musical|Romance,Christian Bale,Pocahontas ,119675,216,English,55000000.0,1995,6.6,0
Richard Donner,169,134218018,Action|Adventure|Drama|Romance|Sci-Fi,Marlon Brando,Superman ,126357,497,English,55000000.0,1978,7.3,0
Tom Shadyac,57,128769345,Comedy|Romance|Sci-Fi,Jada Pinkett Smith,The Nutty Professor ,86556,99,English,54000000.0,1996,5.6,960
Sam Weisman,53,105263257,Action|Adventure|Comedy|Family|Romance,Brendan Fraser,George of the Jungle ,56168,103,English,55000000.0,1997,5.4,5000
Jesse Dylan,153,104354205,Comedy|Romance,Alyson Hannigan,American Wedding ,162331,332,English,55000000.0,2003,6.3,0
Paul Greengrass,491,107100855,Biography|Drama|Thriller,Tom Hanks,Captain Phillips ,323353,527,English,55000000.0,2013,7.9,65000
Shawn Levy,247,98711404,Comedy|Crime|Romance|Thriller,Mila Kunis,Date Night ,127571,207,English,55000000.0,2010,6.3,0
Brad Silberling,26,100328194,Comedy|Family|Fantasy,Eric Idle,Casper ,85903,92,English,50000000.0,1995,6.0,0
Antoine Fuqua,292,101530738,Action|Crime|Thriller,Denzel Washington,The Equalizer ,229574,436,English,55000000.0,2014,7.2,56000
Wayne Wang,114,93815117,Comedy|Drama|Romance,Bob Hoskins,Maid in Manhattan ,68417,242,English,55000000.0,2002,5.1,0
Tony Scott,82,91400000,Action|Drama|Thriller|War,Denzel Washington,Crimson Tide ,81026,194,English,53000000.0,1995,7.3,0
Gabriele Muccino,201,162586036,Biography|Drama,Will Smith,The Pursuit of Happyness ,338383,611,English,55000000.0,2006,8.0,32000
Robert Schwentke,231,89706988,Drama|Mystery|Thriller,Erika Christensen,Flightplan ,126746,600,English,55000000.0,2005,6.2,0
Barry Levinson,55,83000000,Drama|Thriller,Demi Moore,Disclosure ,36587,95,English,55000000.0,1994,6.0,0
Brad Silberling,110,78745923,Drama|Fantasy|Romance,Nicolas Cage,City of Angels ,94407,322,English,55000000.0,1998,6.7,0
Quentin Tarantino,354,70098138,Action,David Carradine,Kill Bill: Vol. 1 ,735784,2105,English,30000000.0,2003,8.1,13000
Frank Oz,140,66365290,Comedy,Robert Downey Jr.,Bowfinger ,56874,358,English,55000000.0,1999,6.4,0
unknown,77,25517500,Action|Adventure|Drama|Sci-Fi,Christopher Judge,Stargate SG-1             ,63982,181,English,1400000.0,2009,8.4,0
Quentin Tarantino,304,66207920,Action|Crime|Drama|Thriller,Vivica A. Fox,Kill Bill: Vol. 2 ,512749,935,English,30000000.0,2004,8.0,0
Andrey Konchalovskiy,45,63408614,Action|Comedy|Crime|Thriller,Sylvester Stallone,Tango & Cash ,75365,149,English,55000000.0,1989,6.3,0
Robert Zemeckis,49,58422650,Comedy|Fantasy|Horror,Bruce Willis,Death Becomes Her ,78974,173,English,55000000.0,1992,6.4,8000
Tom Dey,146,56932305,Action|Adventure|Comedy|Western,Xander Berkeley,Shanghai Noon ,96690,293,English,55000000.0,2000,6.6,0
Stuart Baird,60,68750000,Action|Adventure|Thriller,Oliver Platt,Executive Decision ,40858,144,English,55000000.0,1996,6.4,0
Mark Waters,189,68218041,Comedy|Family|Fantasy,Madeline Carroll,Mr. Popper's Penguins ,67191,108,English,55000000.0,2011,6.0,14000
Rob Minkoff,206,25040293,Action|Adventure|Fantasy,Jet Li,The Forbidden Kingdom ,88049,279,English,55000000.0,2008,6.6,0
Jimmy Hayward,118,55747724,Adventure|Animation|Comedy|Family,Amy Poehler,Free Birds ,18042,73,English,55000000.0,2013,5.9,0
David Fincher,210,55473600,Action|Horror|Sci-Fi,Charles S. Dutton,Alien 3 ,207686,776,English,50000000.0,1992,6.4,0
Alan Parker,76,49994804,Biography|Drama|History|Musical,Andrea Corr,Evita ,29205,194,English,55000000.0,1996,6.3,0
John Frankenheimer,149,41609593,Action|Adventure|Crime|Thriller,Robert De Niro,Ronin ,145422,572,English,55000000.0,1998,7.3,0
Stephen Hopkins,62,38553833,Adventure|Drama|Horror|Thriller,Tom Wilkinson,The Ghost and the Darkness ,46239,155,English,55000000.0,1996,6.8,0
Paul King,224,76137505,Animation|Comedy|Family|Fantasy,Julie Walters,Paddington ,49207,174,English,55000000.0,2014,7.2,30000
William Friedkin,135,34238611,Action|Crime|Drama|Thriller,Connie Nielsen,The Hunted ,35830,321,English,55000000.0,2003,6.0,0
Jon Turteltaub,100,34098563,Drama|Thriller,Anthony Hopkins,Instinct ,27191,232,English,55000000.0,1999,6.5,0
Bobby Farrelly,123,33828318,Comedy,Matt Damon,Stuck on You ,44453,154,English,55000000.0,2003,5.8,0
Kent Alterman,164,33472850,Comedy|Sport,Will Ferrell,Semi-Pro ,67005,119,English,55000000.0,2008,5.8,0
Peter Lord,238,31051126,Adventure|Animation|Comedy|Family,Salma Hayek,The Pirates! Band of Misfits ,36877,101,English,55000000.0,2012,6.7,0
Clint Eastwood,264,35707327,Crime|Drama|Mystery|Thriller,Angelina Jolie Pitt,Changeling ,199056,387,English,55000000.0,2008,7.8,14000
Andrew Davis,47,20550712,Action|Drama|Sci-Fi|Thriller,Keanu Reeves,Chain Reaction ,40346,95,English,50000000.0,1996,5.6,1000
Tony Scott,50,18573791,Action|Drama|Sport|Thriller,Robert De Niro,The Fan ,38533,89,English,55000000.0,1996,5.8,0
Shekhar Kapur,202,16264475,Biography|Drama|History|War,Eddie Redmayne,Elizabeth: The Golden Age ,54787,216,English,55000000.0,2007,6.9,0
Ron Maxwell,84,12870569,Drama|History|War,Billy Campbell,Gods and Generals ,13215,497,English,56000000.0,2003,6.3,953
Karey Kirkpatrick,93,16088610,Comedy|Drama|Family|Fantasy,Stephen Root,Imagine That ,10417,39,English,55000000.0,2009,5.6,610
James Bobin,277,51178893,Adventure|Comedy|Crime|Family|Musical,Ty Burrell,Muppets Most Wanted ,24285,110,English,50000000.0,2014,6.4,10000
Jonathan Frakes,76,6768055,Action|Adventure|Comedy|Family|Sci-Fi,Sophia Myles,Thunderbirds ,11148,229,English,57000000.0,2004,4.2,437
Steve Antin,197,39440655,Drama|Music|Musical|Romance,Eric Dane,Burlesque ,61680,222,English,55000000.0,2010,6.4,19000
Jean-Pierre Jeunet,186,6167817,Drama|Mystery|Romance|War,Denis Lavant,A Very Long Engagement ,62607,239,French,47000000.0,2004,7.7,0
Stanley Kubrick,103,25517500,Crime|Drama|Romance,James Mason,Lolita ,67822,207,English,2000000.0,1962,7.7,0
Jim Gillespie,66,25517500,Crime|Horror|Mystery|Thriller,Sylvester Stallone,Eye See You ,19706,142,English,55000000.0,2002,5.3,448
Guillermo del Toro,224,81645152,Action|Horror|Sci-Fi|Thriller,Norman Reedus,Blade II ,158267,559,English,54000000.0,2002,6.7,0
Gabriele Muccino,202,69951824,Drama|Romance,Will Smith,Seven Pounds ,232710,599,English,55000000.0,2008,7.7,26000
Walter Hill,279,9483821,Action|Thriller,Sylvester Stallone,Bullet to the Head ,39247,131,English,55000000.0,2012,5.7,10000
Francis Ford Coppola,110,66676062,Crime|Drama,Al Pacino,The Godfather: Part III ,267980,545,English,54000000.0,1990,7.6,0
Cameron Crowe,190,26838389,Comedy|Drama|Romance,Orlando Bloom,Elizabethtown ,58658,495,English,57000000.0,2005,6.4,0
Anthony Russo,136,75604320,Comedy|Romance,Todd Stashwick,"You, Me and Dupree ",68417,195,English,54000000.0,2006,5.6,0
Richard Lester,121,108200000,Action|Adventure|Romance|Sci-Fi,Margot Kidder,Superman II ,76331,269,English,54000000.0,1980,6.8,0
Martin Brest,131,5660084,Comedy|Crime|Romance,Todd Giebenhain,Gigli ,41620,418,English,54000000.0,2003,2.4,2000
Steven Zaillian,127,7221458,Drama|Thriller,Kate Winslet,All the King's Men ,20740,178,English,55000000.0,2006,6.2,0
John Singleton,160,70327868,Action|Crime|Thriller,Christian Bale,Shaft ,58416,301,English,46000000.0,2000,5.9,0
Don Bluth,78,58297830,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,Kirsten Dunst,Anastasia ,86347,191,English,50000000.0,1997,7.1,0
Baz Luhrmann,209,57386369,Drama|Musical|Romance,Jim Broadbent,Moulin Rouge! ,224013,2319,English,52500000.0,2001,7.6,10000
Harold Becker,98,45207112,Crime|Mystery|Thriller,Steve Buscemi,Domestic Disturbance ,21283,190,English,53000000.0,2001,5.5,361
Scott Cooper,391,62563543,Biography|Crime|Drama,Johnny Depp,Black Mass ,115216,289,English,53000000.0,2015,7.0,44000
F. Gary Gray,216,73343413,Crime|Drama|Thriller,Gerard Butler,Law Abiding Citizen ,217480,429,English,50000000.0,2009,7.4,21000
Robert Rodriguez,250,25031037,Action|Horror|Thriller,Quentin Tarantino,Grindhouse ,155496,532,English,53000000.0,2007,7.6,0
Jonathan Demme,78,22843047,Drama|History|Horror,Oprah Winfrey,Beloved ,6082,207,English,55000000.0,1998,5.9,853
Curtis Hanson,106,5755286,Drama|Romance|Sport,Robert Downey Jr.,Lucky You ,18310,63,English,55000000.0,2007,5.9,672
Steven Spielberg,194,164435221,Biography|Crime|Drama,Leonardo DiCaprio,Catch Me If You Can ,525801,667,English,52000000.0,2002,8.0,15000
Kathryn Bigelow,558,95720716,Drama|History|Thriller,Jennifer Ehle,Zero Dark Thirty ,216032,640,English,40000000.0,2012,7.4,39000
Peyton Reed,183,118683135,Comedy|Drama|Romance,Jon Favreau,The Break-Up ,102167,483,English,52000000.0,2006,5.8,0
Phyllida Lloyd,238,143704210,Comedy|Family|Musical|Romance,Colin Firth,Mamma Mia! ,145974,611,English,52000000.0,2008,6.3,10000
Garry Marshall,186,110476776,Comedy|Romance,Bradley Cooper,Valentine's Day ,95437,211,English,52000000.0,2010,5.7,9000
Jay Chandrasekhar,144,80270227,Action|Adventure|Comedy,Alice Greczyn,The Dukes of Hazzard ,66382,612,English,50000000.0,2005,5.1,0
Terrence Malick,156,36385763,Drama|War,Nick Stahl,The Thin Red Line ,138941,1448,English,52000000.0,1998,7.6,0
David Dobkin,215,37035845,Comedy|Fantasy,Ryan Reynolds,The Change-Up ,136680,149,English,52000000.0,2011,6.4,13000
Milos Forman,140,34580635,Biography|Comedy|Drama,Matt Price,Man on the Moon ,100743,549,English,52000000.0,1999,7.4,0
Martin Scorsese,133,42438300,Biography|Crime|Drama,Robert De Niro,Casino ,333542,533,English,52000000.0,1995,8.2,11000
Pierre Morel,203,23324666,Action|Thriller,Kasia Smutniak,From Paris with Love ,97775,211,English,52000000.0,2010,6.5,0
Paul Hunter,127,23020488,Action|Comedy|Fantasy,Jaime King,Bulletproof Monk ,42324,180,English,52000000.0,2003,5.5,846
Bobby Farrelly,155,90567722,Comedy,Robert Forster,"Me, Myself & Irene ",185878,481,English,51000000.0,2000,6.5,0
Steve Oedekerk,98,72601713,Animation|Comedy|Family,Rob Paulsen,Barnyard ,21396,155,English,51000000.0,2006,5.6,605
John Whitesell,71,35092918,Comedy|Family,Matthew Broderick,Deck the Halls ,15740,110,English,20000000.0,2006,4.9,1000
Chris Weitz,299,296623634,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: New Moon ,220758,919,English,50000000.0,2009,4.6,13000
George Nolfi,413,62453315,Romance|Sci-Fi|Thriller,Matt Damon,The Adjustment Bureau ,200035,407,English,50200000.0,2011,7.1,36000
Kevin Reynolds,67,165500000,Action|Adventure|Drama|Romance,Alan Rickman,Robin Hood: Prince of Thieves ,145257,322,English,48000000.0,1991,6.9,0
Cameron Crowe,109,153620822,Comedy|Drama|Romance|Sport,Tom Cruise,Jerry Maguire ,189923,318,English,50000000.0,1996,7.3,0
Seth MacFarlane,457,218628680,Comedy|Fantasy,Mila Kunis,Ted ,471644,623,English,50000000.0,2012,7.0,74000
James L. Brooks,156,147637474,Comedy|Drama|Romance,Lupe Ontiveros,As Good as It Gets ,224671,470,English,50000000.0,1997,7.7,11000
Tom Shadyac,55,135014968,Biography|Comedy|Drama|Romance,Robin Williams,Patch Adams ,80580,375,English,50000000.0,1998,6.7,0
Adam McKay,272,2175312,Comedy,Harrison Ford,Anchorman 2: The Legend Continues ,131227,346,English,50000000.0,2013,6.3,41000
Steven Brill,117,126203320,Comedy|Romance,Steve Buscemi,Mr. Deeds ,110432,309,English,50000000.0,2002,5.8,0
J.J. Abrams,539,126975169,Mystery|Sci-Fi|Thriller,Joel Courtney,Super 8 ,287822,849,English,50000000.0,2011,7.1,37000
Steven Soderbergh,169,125548685,Biography|Drama,Julia Roberts,Erin Brockovich ,135246,498,English,52000000.0,2000,7.3,0
Donald Petrie,140,105807520,Comedy|Romance,Matthew McConaughey,How to Lose a Guy in 10 Days ,156717,357,English,50000000.0,2003,6.4,0
Phil Lord,330,191616238,Action|Comedy|Crime,Channing Tatum,22 Jump Street ,258186,322,English,50000000.0,2014,7.1,24000
Rawson Marshall Thurber,177,126088877,Action|Comedy|Crime,Dwayne Johnson,Central Intelligence ,33354,110,English,50000000.0,2016,6.6,10000
Chris Columbus,65,91030827,Comedy|Drama,Julia Roberts,Stepmom ,46482,252,English,50000000.0,1998,6.7,0
Sean Anders,145,150315155,Comedy|Family,Will Ferrell,Daddy's Home ,54010,130,English,50000000.0,2015,6.1,13000
Rob Marshall,321,127997349,Adventure|Comedy|Drama|Fantasy|Musical,Johnny Depp,Into the Woods ,101178,779,English,50000000.0,2014,6.0,90000
Spike Lee,230,88504640,Crime|Drama|Mystery|Thriller,Denzel Washington,Inside Man ,273108,646,English,45000000.0,2006,7.6,0
Brian Helgeland,143,81517441,Action|Crime|Drama|Thriller,Bill Duke,Payback ,111368,394,English,50000000.0,1999,7.1,0
Frank Marshall,55,81022333,Action|Adventure|Mystery|Sci-Fi,Dylan Walsh,Congo ,34471,147,English,50000000.0,1995,5.0,0
Cameron Crowe,257,75621915,Comedy|Drama|Family,Scarlett Johansson,We Bought a Zoo ,111003,199,English,20000000.0,2011,7.1,22000
Alex Proyas,279,79948113,Drama|Mystery|Sci-Fi|Thriller,Nicolas Cage,Knowing ,186879,791,English,50000000.0,2009,6.2,0
