,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
226,2012.0,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
227,2006.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
228,2015.0,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64
229,2000.0,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
230,2011.0,Misc,Activision,3.06,1.12,0.0,0.44,4.62
231,1995.0,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
232,2006.0,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
233,2013.0,Sports,Sega,1.89,1.99,0.22,0.48,4.58
234,2017.0,Action,Nintendo,1.78,1.39,1.1,0.3,4.58
235,2019.0,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57
236,2018.0,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55
237,2011.0,Misc,Activision,3.19,0.92,0.01,0.42,4.53
238,2008.0,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53
239,1985.0,Platform,Activision,4.21,0.24,0.0,0.05,4.5
240,2010.0,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
241,2006.0,Action,Activision,2.71,1.51,0.03,0.23,4.48
242,2004.0,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47
243,2019.0,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47
244,2018.0,Shooter,Activision,1.54,1.94,0.19,0.77,4.45
245,2009.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
246,2016.0,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44
247,2014.0,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
248,2005.0,Sports,Activision,2.66,1.29,0.01,0.46,4.41
249,2010.0,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39
250,2010.0,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39
251,1991.0,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
252,2009.0,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37
253,2010.0,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35
254,1995.0,Platform,Sega,3.03,0.91,0.26,0.13,4.34
255,2009.0,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33
256,2017.0,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31
257,2018.0,Shooter,Activision,2.75,1.18,0.0,0.37,4.31
258,1984.0,Shooter,Atari,4.0,0.26,0.0,0.05,4.31
259,2012.0,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31
260,2019.0,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26
261,2017.0,Platform,Nintendo,2.11,1.11,0.72,0.3,4.25
262,2013.0,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
263,2015.0,Action,Ubisoft,1.41,2.02,0.1,0.72,4.24
264,2005.0,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24
265,2008.0,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23
266,2010.0,Platform,Sony Computer Entertainment,2.45,1.02,0.0,0.75,4.22
267,1999.0,Strategy,Activision,1.7,2.27,0.0,0.23,4.21
268,2015.0,Action,Nintendo,2.03,1.27,0.62,0.3,4.21
269,2009.0,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21
270,2007.0,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
271,2020.0,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2
272,2011.0,Racing,Sony Computer Entertainment,1.28,1.83,0.57,0.53,4.2
273,2015.0,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19
274,2013.0,Fighting,Capcom,2.02,1.06,0.58,0.53,4.19
275,2015.0,Sports,Electronic Arts,0.84,2.79,0.02,0.53,4.19
276,1993.0,Action,Palcom,3.38,0.44,0.31,0.04,4.17
277,1988.0,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
278,2001.0,Action,Hasbro Interactive,3.79,0.27,0.0,0.11,4.16
279,2006.0,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14
280,2018.0,Action,Ubisoft,1.4,1.86,0.11,0.77,4.14
281,2001.0,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12
282,1999.0,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12
283,2010.0,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11
284,2015.0,Action,Nintendo,2.14,1.2,0.37,0.4,4.1
285,1996.0,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1
286,2011.0,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1
287,2019.0,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09
288,2011.0,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09
289,2014.0,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08
290,2011.0,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07
291,2011.0,Racing,Microsoft Game Studios,2.35,1.28,0.03,0.41,4.06
292,2009.0,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06
293,2000.0,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05
294,2004.0,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05
295,2018.0,Shooter,Ubisoft,1.12,2.12,0.1,0.69,4.03
296,2001.0,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03
297,2018.0,Misc,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02
298,1988.0,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01
299,2012.0,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,0.59,4.01
300,2011.0,Puzzle,Nintendo,0.92,1.78,0.92,0.37,4.0
301,2013.0,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.99
302,2009.0,Misc,Namco Bandai Games,2.08,1.35,0.0,0.54,3.98
303,2013.0,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92
304,2018.0,Action,Ubisoft,1.18,1.96,0.08,0.7,3.92
305,1998.0,Platform,Nintendo,1.97,0.76,1.07,0.11,3.91
306,2007.0,Sports,Activision,2.29,1.17,0.01,0.42,3.9
307,2017.0,Action,Ubisoft,1.33,1.71,0.13,0.73,3.89
308,2018.0,Role-Playing,Nintendo,0.67,0.49,2.62,0.11,3.89
309,2010.0,Racing,Sony Computer Entertainment,1.53,1.61,0.06,0.67,3.88
310,2015.0,Role-Playing,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88
311,2009.0,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87
312,1992.0,Role-Playing,Enix Corporation,0.1,0.0,3.77,0.0,3.87
313,2014.0,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87
314,2019.0,Sports,Take-Two Interactive,2.48,0.65,0.03,0.69,3.85
315,2008.0,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68,3.85
316,2011.0,Misc,Nintendo,0.87,1.57,1.05,0.35,3.84
317,1999.0,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84
318,1996.0,Action,Nintendo,2.21,0.96,0.54,0.13,3.83
319,2013.0,Role-Playing,Nintendo,2.26,0.48,0.81,0.27,3.83
320,2011.0,Misc,Nintendo,1.06,1.93,0.41,0.43,3.82
321,2015.0,Simulation,Nintendo,1.44,1.37,0.73,0.27,3.81
322,2019.0,Action,Warner Bros. Interactive Entertainment,1.49,1.58,0.1,0.61,3.79
323,2015.0,Sports,Sega,1.14,1.91,0.27,0.46,3.78
324,2012.0,Action,Activision,2.4,1.03,0.0,0.36,3.78
325,2000.0,Action,Virgin Interactive,1.82,1.24,0.47,0.25,3.77
326,2011.0,Platform,Sony Computer Entertainment,1.4,1.4,0.1,0.87,3.77
327,2017.0,Misc,Ubisoft,1.98,1.47,0.0,0.32,3.76
328,2006.0,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76
329,2011.0,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76
330,2005.0,Action,Electronic Arts,1.37,2.0,0.14,0.22,3.73
331,2019.0,Role-Playing,Namco Bandai Games,0.96,2.0,0.21,0.56,3.73
332,2003.0,Action,Eidos Interactive,1.3,0.77,1.54,0.11,3.72
333,2004.0,Platform,Sony Computer Entertainment,1.93,1.58,0.0,0.19,3.71
334,2008.0,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7
335,2002.0,Strategy,Nintendo,1.49,0.73,1.38,0.1,3.7
336,2017.0,Shooter,Electronic Arts,1.3,1.51,0.27,0.61,3.69
337,2011.0,Simulation,Electronic Arts,1.59,1.61,0.08,0.41,3.69
338,2013.0,Misc,Nintendo,0.0,0.0,3.67,0.0,3.67
339,2006.0,Sports,Activision,2.13,1.18,0.01,0.35,3.67
340,2009.0,Racing,Take-Two Interactive,1.65,1.22,0.0,0.79,3.66
341,2002.0,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65
342,2006.0,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65
343,2012.0,Misc,Activision,2.33,0.97,0.0,0.35,3.65
344,2017.0,Racing,Sony Computer Entertainment,0.71,1.8,0.4,0.74,3.64
345,2005.0,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33,3.64
346,2003.0,Simulation,Nintendo,2.23,0.68,0.66,0.06,3.63
347,2013.0,Sports,Electronic Arts,0.6,2.46,0.05,0.52,3.63
348,2011.0,Sports,Konami Digital Entertainment,0.05,0.0,0.64,2.93,3.63
349,2017.0,Shooter,Activision,1.78,1.42,0.05,0.38,3.63
350,2009.0,Action,Capcom,2.08,0.83,0.46,0.25,3.62
351,2020.0,Shooter,Ubisoft,1.28,1.61,0.15,0.57,3.61
352,2008.0,Shooter,LucasArts,1.93,1.22,0.03,0.44,3.61
353,1998.0,Shooter,Virgin Interactive,2.05,1.4,0.0,0.16,3.61
354,2005.0,Racing,Electronic Arts,2.02,1.17,0.0,0.42,3.61
